Time, S, I, R
0,10,0.01,0.01
0.1,9.99895,0.0110461,0.0100053
0.55,9.99268,0.0172818,0.0100366
1.15853,9.97825,0.0316363,0.0101088
1.63762,9.95891,0.0508831,0.0102059
2.13684,9.92625,0.0833842,0.0103701
2.54188,9.88512,0.124301,0.0105777
2.94691,9.8242,0.184917,0.0108868
3.35194,9.73439,0.274264,0.011346
3.70299,9.62348,0.384606,0.011919
4.05404,9.47041,0.536866,0.0127206
4.40509,9.26147,0.74469,0.0138361
4.75613,8.98045,1.02417,0.0153767
5.10718,8.60992,1.39259,0.0174835
5.45823,8.13398,1.8657,0.0203268
5.82588,7.51186,2.48383,0.0243051
6.2249,6.69715,3.29281,0.0300452
6.67614,5.63975,4.34161,0.0386372
7.22618,4.28004,5.68753,0.0524312
7.74641,3.08546,6.86574,0.0687941
8.24988,2.13078,7.80192,0.0873049
8.59291,1.616,8.30287,0.101132
8.97944,1.16201,8.74037,0.117622
9.29447,0.878425,9.00996,0.13161
9.62301,0.650966,9.22244,0.146594
9.95154,0.47951,9.37861,0.161879
10.2801,0.351671,9.49095,0.177382
10.6086,0.257111,9.56985,0.193042
10.9371,0.187572,9.62362,0.208809
11.2657,0.136643,9.65871,0.224649
11.618,0.097184,9.68113,0.241687
11.9866,0.0680054,9.69246,0.259538
12.3755,0.0466438,9.69497,0.27839
12.7887,0.0312501,9.69033,0.298416
13.2306,0.0203688,9.67981,0.319817
13.7065,0.0128553,9.66431,0.34283
14.2225,0.0078115,9.64445,0.367738
14.7862,0.00453834,9.62057,0.394891
15.4073,0.0024991,9.59278,0.424724
16.098,0.00128989,9.56091,0.457796
16.8743,0.000614991,9.52455,0.494838
17.7581,0.000265606,9.4829,0.536835
18.7797,0.000101157,9.43475,0.58515
19.9829,3.27194e-05,9.37823,0.641739
21.4337,8.53675e-06,9.31047,0.709523
23.2367,1.70713e-06,9.22692,0.793079
25.5668,3.00176e-07,9.12004,0.899956
28.724,1.29307e-07,8.97721,1.04279
33.0751,3.38689e-07,8.78401,1.23599
36.9673,3.88213e-07,8.61472,1.40528
41.2649,7.25356e-07,8.43158,1.58842
45.0377,5.39494e-07,8.27402,1.74598
48.8106,3.5942e-07,8.1194,1.9006
53.0293,4.14394e-07,7.94992,2.07008
57.6266,7.10242e-07,7.76926,2.25073
62.224,1.05425e-06,7.59271,2.42729
66.0631,4.79334e-07,7.44836,2.57164
70.1284,2.67214e-07,7.29848,2.72152
74.9544,3.62124e-07,7.12448,2.89552
80.3648,8.55654e-07,6.93433,3.08567
84.5865,3.9565e-07,6.78949,3.23051
89.2294,2.74981e-07,6.63369,3.38631
94.7045,4.4607e-07,6.45456,3.56544
100,4.98058e-07,6.2859,3.7341
