Province/Region/City,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020
Hubei,7153,9074,11177,13522,16678
Zhejiang,599,661,724,829,895
Guangdong,520,604,683,797,870
Henan,422,493,566,675,764
Hunan,389,463,521,593,661
Anhui,297,340,408,480,530
Jiangxi,286,333,391,476,548
Chongqing,238,262,300,337,366
Sichuan,207,236,271,308,341
Jiangsu,202,231,254,282,301
Shandong,202,225,246,270,298
Beijing,156,183,212,228,253
Shanghai,153,177,193,208,233
Fujian,144,159,179,194,205
Shaanxi,101,116,128,155,190
Guangxi,100,111,127,142,165
Hebei,96,104,118,139,150
Yunnan,91,99,113,126,135
Heilongjiang,80,95,109,117,122
Liaoning,60,64,70,79,89
Hainan,57,63,70,74,81
Shanxi,47,56,66,74,81
Gansu,35,45,51,63,67
Tianjin,34,40,49,56,57
Guizhou,29,38,46,56,64
Ningxia,26,28,33,42,54
Inner Mongolia,23,26,31,37,42
Xinjiang,18,23,31,34,34
Jilin,17,21,24,29,32
Hong Kong SAR,13,14,15,15,18
Taipei,10,10,13,15,17
Qinghai,8,9,10,10,11
Macau SAR,7,7,8,8,10
Xizang,1,1,1,1,1
