Time,S,I,R
1/22/20,1330071000,554,28
1/23/20,1330070319,651,30
1/24/20,1330069347,936,36
1/25/20,1330067882,1426,39
1/26/20,1330065730,2100,52
1/27/20,1330062758,2911,61
1/28/20,1330057094,5557,107
1/29/20,1330050827,6141,126
1/30/20,1330042478,8206,143
1/31/20,1330032344,9912,222
2/1/20,1330020025,12035,284
2/2/20,1330002769,16784,472
2/3/20,1329982268,19878,623
2/4/20,1329957524,23892,852
2/5/20,1329928764,27636,1124
2/6/20,1329896459,30818,1487
2/7/20,1329860117,34331,2011
2/8/20,1329820441,37060,2616
2/9/20,1329777046,40151,3244
2/10/20,1329730337,42763,3946
2/11/20,1329680851,44803,4683
2/12/20,1329630479,45222,5150
2/13/20,1329563814,60370,6295
2/14/20,1329488869,66887,8058
